symptoms,specialty
runny nose sneezing,ENT
nose bleeding recurrent,ENT

persistent cough wheezing,Pulmonology
shortness of breath cough,Pulmonology
asthma attack wheezing,Pulmonology
chest congestion mucus,Pulmonology
lung infection fever cough,Pulmonology
chronic smoker cough,Pulmonology
difficulty breathing at night,Pulmonology
cough blood sputum,Pulmonology
tuberculosis cough weight loss,Pulmonology
breathlessness climbing stairs,Pulmonology

eye redness pain,Ophthalmology
blurred vision headache,Ophthalmology
watery eyes itching,Ophthalmology
double vision dizziness,Ophthalmology
eye infection discharge,Ophthalmology
vision loss sudden,Ophthalmology
light sensitivity eye pain,Ophthalmology
dry eyes irritation,Ophthalmology
foreign body sensation eye,Ophthalmology
night vision problem,Ophthalmology

anxiety panic attacks,Psychiatry
depression sadness,Psychiatry
insomnia stress,Psychiatry
mood swings irritability,Psychiatry
loss of interest fatigue,Psychiatry
social withdrawal anxiety,Psychiatry
fear nervousness,Psychiatry
panic attack chest tightness,Psychiatry
chronic stress sleep issues,Psychiatry
persistent sadness hopelessness,Psychiatry

burning urination fever,Urology
blood in urine pain,Urology
frequent urination urgency,Urology
kidney stone severe pain,Urology
urinary infection burning,Urology
difficulty urinating lower pain,Urology
bladder pain urgency,Urology
nighttime frequent urination,Urology
painful urination blood,Urology
kidney pain vomiting,Urology
